source,target,source_genesymbol,target_genesymbol,is_directed,is_stimulation,is_inhibition,consensus_direction,consensus_stimulation,consensus_inhibition,sources,references,curation_effort,n_references,n_resources
P49185,P35426,Mapk8,Cdk4,1,0,0,0,0,0,PhosphoSite;PhosphoSite_ProtMapper;ProtMapper,PhosphoSite:14754892;PhosphoSite:16782892;PhosphoSite:28566333,3,3,2
Q01621,B2RYB8,Lck,Itgb2,1,0,0,0,0,0,MIMP;PhosphoSite;PhosphoSite_MIMP;PhosphoSite_ProtMapper;ProtMapper,PhosphoSite:22990843,1,1,3
P18266,P97613,Gsk3b,Pttg1,1,0,0,0,0,0,KEA;NetworKIN_KEA;PhosphoSite;PhosphoSite_noref,KEA:17570479;PhosphoSite:21757741,2,2,2
D4A5E7,B5DFH7,Ikbke,Traf2,1,0,0,0,0,0,PhosphoPoint;PhosphoSite;ProtMapper;REACH_ProtMapper;SPIKE_LC;Sparser_ProtMapper;iPTMnet,PhosphoSite:18981220;PhosphoSite:19336568;PhosphoSite:23007157;PhosphoSite:24362534;PhosphoSite:25877877;ProtMapper:24362534;ProtMapper:30223576;SPIKE_LC:14743216;SPIKE_LC:17145710;iPTMnet:23007157,10,8,4
P70618,Q9JJP6,Mapk14,Tp63,1,0,0,0,0,0,PhosphoSite;PhosphoSite_noref,PhosphoSite:23166821;PhosphoSite:30301786,2,2,1
P26794,Q6JE36,Pim1,Ndrg1,1,0,0,0,0,0,PhosphoSite,PhosphoSite:17220478;PhosphoSite:21719465;PhosphoSite:33398037,3,3,1
P49185,P56720,Mapk8,Srebf1,1,0,0,0,0,0,PhosphoSite;PhosphoSite_ProtMapper;PhosphoSite_noref;ProtMapper,PhosphoSite:10915800;PhosphoSite:18403372;PhosphoSite:20863500;PhosphoSite:22384276,4,4,2
Q03114,Q01986,Cdk5,Map2k1,1,1,1,1,1,1,Cui2007;HPRD;HPRD-phos;HPRD_KEA;HPRD_MIMP;KEA;MIMP;PhosphoPoint;PhosphoSite;PhosphoSite_KEA;PhosphoSite_MIMP;PhosphoSite_ProtMapper;ProtMapper;SIGNOR_ProtMapper;Wang;iPTMnet;phosphoELM_KEA;phosphoELM_MIMP,HPRD-phos:11684694;HPRD-phos:18691976;HPRD:11684694;KEA:11684694;KEA:15665076;KEA:8157000;PhosphoSite:10567369;PhosphoSite:12609978;PhosphoSite:25971971;PhosphoSite:8114697;ProtMapper:11684694;iPTMnet:11684694;iPTMnet:18691976,13,8,10
P42346,D3ZKE1,Mtor,Uvrag,1,0,0,0,0,0,PhosphoSite;PhosphoSite_ProtMapper;PhosphoSite_noref;ProtMapper;REACH_ProtMapper;RLIMS-P_ProtMapper;Sparser_ProtMapper,PhosphoSite:25533187;PhosphoSite:26139536;ProtMapper:25533187;ProtMapper:26139536,4,2,2
P09216,P13264,Prkce,Gls,1,0,0,0,0,0,PhosphoSite,PhosphoSite:29515166,1,1,1
Q03114,Q6RFY2,Cdk5,Phactr3,1,0,0,0,0,0,PhosphoSite;PhosphoSite_ProtMapper;ProtMapper,PhosphoSite:21487013,1,1,2
P21708,M0RD03,Mapk3,Eif4g1,1,0,0,0,0,0,PhosphoSite,PhosphoSite:23263986;PhosphoSite:30012863,2,2,1
Q3MJK5,Q64303,Cdk12,Pak2,1,0,0,0,0,0,PhosphoSite;PhosphoSite_noref,PhosphoSite:32483448,1,1,1
P68403,Q5M824,Prkcb,Shc1,1,0,0,0,0,0,PhosphoSite;PhosphoSite_ProtMapper;PhosphoSite_noref;ProtMapper;iPTMnet,PhosphoSite:27624939;iPTMnet:20685851,2,2,3
F1M0N1,P20171,Abl2,Hras,1,0,0,0,0,0,PhosphoPoint;PhosphoSite;PhosphoSite_ProtMapper;ProtMapper;SPIKE_LC,PhosphoSite:25999467;PhosphoSite:26866052;SPIKE_LC:15886098;SPIKE_LC:17145710,4,4,3
P39951,Q9R0I6,Cdk1,Xiap,1,0,0,0,0,0,PhosphoSite;PhosphoSite_ProtMapper;ProtMapper;Sparser_ProtMapper,PhosphoSite:27927753;ProtMapper:27927753,2,1,2
O55099,Q6AXS3,Aurkb,Dek,1,0,0,0,0,0,MIMP;PhosphoSite;PhosphoSite_MIMP;PhosphoSite_ProtMapper;ProtMapper,PhosphoSite:21282377,1,1,3
P39951,O35923,Cdk1,Brca2,1,0,0,0,0,0,HPRD;PhosphoSite;ProtMapper;REACH_ProtMapper;Sparser_ProtMapper;dbPTM;iPTMnet,HPRD:15800651;PhosphoSite:15800615;PhosphoSite:17515903;PhosphoSite:18593900;PhosphoSite:21565612;PhosphoSite:25218637;PhosphoSite:26387543;PhosphoSite:32726637;ProtMapper:26295265;dbPTM:15800615;iPTMnet:22797065,11,10,5
